id,title,institution,promotion_status,confidence_score,review_batch_score,missing_fields,original_url,attachment_url,manual_review_decision,deadline_confirmed,application_channel_confirmed,notes
promo_director_to_the_international_civil_aviation_organiz_476bf751e52c,"Director To The International Civil Aviation Organization (ICAO) - Mission, Montreal Canada at Kenya Civil Aviation Authority (KCAA)",Kenya Civil Aviation Authority (KCAA),ready_for_manual_confirmation,100,145,deadline,https://gaa.go.ke/sites/default/files/2026-04/Director%20To%20The%20International%20Civil%20Aviation%20Organization%20%28ICAO%29%20-%20Mission%2C%20Montreal%20Canada%20Job%20at%20KAA.pdf,https://gaa.go.ke/sites/default/files/2026-04/Director%20To%20The%20International%20Civil%20Aviation%20Organization%20%28ICAO%29%20-%20Mission%2C%20Montreal%20Canada%20Job%20at%20KAA.pdf,,,,
promo_senior_legal_officer_re_at_commission_on_administrat_58e8076eb0c0,Senior Legal Officer (Re- ) at Commission on Administrative Justice (Office of the Ombudsman),Commission on Administrative Justice (Office of the Ombudsman),ready_for_manual_confirmation,100,144,deadline,https://gaa.go.ke/sites/default/files/2026-02/Senior%20Legal%20Officer%20%28Re-%20advertisement%29%20Vacancy%20at%20Commission%20on%20Administrative%20Justice%20%28Office%20of%20the%20Ombudsman%29.pdf,https://gaa.go.ke/sites/default/files/2026-02/Senior%20Legal%20Officer%20%28Re-%20advertisement%29%20Vacancy%20at%20Commission%20on%20Administrative%20Justice%20%28Office%20of%20the%20Ombudsman%29.pdf,,,,
promo_chief_executive_officer_manager_human_resource_admin_3896f469c8da,"Chief Executive Officer & Manager, Human Resource & Administration Announcement at The Commission on Revenue Allocation",Commission on Revenue Allocation,ready_for_manual_confirmation,100,144,deadline,https://gaa.go.ke/sites/default/files/2026-04/Chief%20Executive%20Officer%20%26%20Manager%2C%20Human%20Resource%20%26%20Administration%20Vacancy%20Announcement%20at%20The%20Commission%20on%20Revenue%20Allocation%20%28CRA%29.pdf,https://gaa.go.ke/sites/default/files/2026-04/Chief%20Executive%20Officer%20%26%20Manager%2C%20Human%20Resource%20%26%20Administration%20Vacancy%20Announcement%20at%20The%20Commission%20on%20Revenue%20Allocation%20%28CRA%29.pdf,,,,
promo_driver_iii_regional_offices_headquaters_at_communica_1a64b6268f1d,Driver III (Regional Offices & Headquaters) at Communications Authority of Kenya (CA),Communications Authority of Kenya (CA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-08/Driver%20III%20%28Regional%20Offices%20%26%20Headquaters%29%20Job%20Opportunities%20at%20Communications%20Authority%20of%20Kenya%20%28CA%29%20.pdf,https://gaa.go.ke/sites/default/files/2026-08/Driver%20III%20%28Regional%20Offices%20%26%20Headquaters%29%20Job%20Opportunities%20at%20Communications%20Authority%20of%20Kenya%20%28CA%29%20.pdf,,,,
promo_kenya_airports_authority_managing_director_chief_exe_66d30e5d6331,Kenya Airports Authority Managing Director / Chief Executive Officer Position,Kenya Airports Authority Managing Director / Chief Executive Officer Position,ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-02/Kenya%20Airports%20Authority%20Managing%20Director%20%3A%20Chief%20Executive%20Officer%20Position%20.pdf,https://gaa.go.ke/sites/default/files/2026-02/Kenya%20Airports%20Authority%20Managing%20Director%20%3A%20Chief%20Executive%20Officer%20Position%20.pdf,,,,
promo_director_corporate_services_position_at_kenya_nation_4eca90d9b917,"Director, Corporate Services Position at Kenya National Highways Authority (KeNHA)",Kenya National Highways Authority (KeNHA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-04/Director%2C%20Corporate%20Services%20Position%20at%20Kenya%20National%20Highways%20Authority%20%28KeNHA%29.pdf,https://gaa.go.ke/sites/default/files/2026-04/Director%2C%20Corporate%20Services%20Position%20at%20Kenya%20National%20Highways%20Authority%20%28KeNHA%29.pdf,,,,
promo_director_general_at_national_industrial_training_aut_1a37057b9e1b,Director General at National Industrial Training Authority (NITA),National Industrial Training Authority (NITA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2025-09/Director%20General%20Vacancy%20at%20National%20Industrial%20Training%20Authority%20%28NITA%29.pdf,https://gaa.go.ke/sites/default/files/2025-09/Director%20General%20Vacancy%20at%20National%20Industrial%20Training%20Authority%20%28NITA%29.pdf,,,,
promo_at_public_procurement_regulatory_authority_ppra_6e0dc4a1fd77,at Public Procurement Regulatory Authority (PPRA),Public Procurement Regulatory Authority (PPRA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2025-09/Vacant%20positions%20at%20Public%20Procurement%20Regulatory%20Authority%20%28PPRA%29.pdf,https://gaa.go.ke/sites/default/files/2025-09/Vacant%20positions%20at%20Public%20Procurement%20Regulatory%20Authority%20%28PPRA%29.pdf,,,,
promo_assistant_director_supply_chain_management_employmen_f1a9f2f41dd1,Assistant Director Supply Chain Management Employment Opportunity at RBA,Retirement Benefits Authority (RBA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-04/Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20Employment%20Opportunity%20at%20RBA.pdf,https://gaa.go.ke/sites/default/files/2026-04/Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20Employment%20Opportunity%20at%20RBA.pdf,,,,
promo_assistant_director_supply_chain_management_at_retire_38155298e28e,Assistant Director Supply Chain Management at Retirement Benefits Authority,Retirement Benefits Authority (RBA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-04/Vacancy%20Positions%20for%20Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20at%20Retirement%20Benefits%20Authority%20.pdf,https://gaa.go.ke/sites/default/files/2026-04/Vacancy%20Positions%20for%20Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20at%20Retirement%20Benefits%20Authority%20.pdf,,,,
promo_deputy_director_26fe0d68353d,Deputy Director,Retirement Benefits Authority (RBA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-04/Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20Employment%20Opportunity%20at%20RBA.pdf,https://gaa.go.ke/sites/default/files/2026-04/Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20Employment%20Opportunity%20at%20RBA.pdf,,,,
promo_positions_for_deputy_director_c3f1fde658a9,Positions for Deputy Director,Retirement Benefits Authority (RBA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-04/Vacancy%20Positions%20for%20Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20at%20Retirement%20Benefits%20Authority%20.pdf,https://gaa.go.ke/sites/default/files/2026-04/Vacancy%20Positions%20for%20Deputy%20Director%20and%20Assistant%20Director%20Supply%20Chain%20Management%20at%20Retirement%20Benefits%20Authority%20.pdf,,,,
promo_sacco_societies_regulatory_authority_sasra_chief_exe_e926912e4d49,Sacco Societies Regulatory Authority (SASRA) Chief Executive Officer Announcement,Sacco Societies Regulatory Authority (SASRA),ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-02/Sacco%20Societies%20Regulatory%20Authority%20%28SASRA%29%20Chief%20Executive%20Officer%20Vacancy%20Announcement%20_0.pdf,https://gaa.go.ke/sites/default/files/2026-02/Sacco%20Societies%20Regulatory%20Authority%20%28SASRA%29%20Chief%20Executive%20Officer%20Vacancy%20Announcement%20_0.pdf,,,,
promo_announcement_for_the_position_of_managing_director_p_950523a12a6a,Announcement For The Position Of Managing Director Privatization Authority,The Privatisation Authority,ready_for_manual_confirmation,100,143,deadline,https://gaa.go.ke/sites/default/files/2026-04/Vacancy%20Announcement%20For%20The%20Position%20Of%20Managing%20Director%20Privatization%20Authority.pdf,https://gaa.go.ke/sites/default/files/2026-04/Vacancy%20Announcement%20For%20The%20Position%20Of%20Managing%20Director%20Privatization%20Authority.pdf,,,,
promo_chief_executive_officer_at_affordable_housing_board_3b02ec0f4454,Chief Executive Officer at Affordable Housing Board,Affordable Housing Board (AHB),ready_for_manual_confirmation,100,142,deadline,https://gaa.go.ke/sites/default/files/2026-02/Chief%20Executive%20Officer%20Vacancy%20at%20Affordable%20Housing%20Board%20.pdf,https://gaa.go.ke/sites/default/files/2026-02/Chief%20Executive%20Officer%20Vacancy%20at%20Affordable%20Housing%20Board%20.pdf,,,,
